Name,Team,BYE,Pos,ADP,Point Proj,ECR Rank,Tier
Michael Penix Jr.,ATL,5,QB,174,241,138,9
DeMario Douglas,NE,14,WR,221,127.2,160,10
Joshua Palmer,BUF,7,WR,227,128.3,175,10
Diontae Johnson,CLE,9,WR,316,114,235,12
Brandin Cooks,NO,11,WR,423,1108,255,12
Brenton Strange,JAC,8,TE,196,128.7,171,10
Mike Gesicki,CIN,10,TE,219,127.4,183,11
Darius Slayton,NYG,14,WR,273,#N/A,213,11
DeAndre Hopkins,BAL,7,WR,209,#N/A,181,11
Quentin Johnston,LAC,12,WR,193,#N/A,172,10
Blake Corum,LAR,8,RB,228,#N/A,191,11
Nick Chubb,HOU,6,RB,148,#N/A,169,10
Woody Marks,HOU,6,RB,268,#N/A,233,12
Elijah Arroyo,SEA,8,TE,229,#N/A,238,12
Mason Taylor,NYJ,9,TE,238,#N/A,205,11
Cade Otton,TB,9,TE,215,129.4,206,11
Bryce Young,CAR,14,QB,210,247.3,135,9
Geno Smith,LV,8,QB,200,252.6,153,10
Anthony Richardson,IND,11,QB,197,#N/A,#N/A,#N/A
Kendre Miller,NO,11,RB,241,#N/A,223,12
Rico Dowdle,CAR,14,RB,207,#N/A,158,10
Raheem Mostert,LV,8,RB,231,#N/A,257,12
Adonai Mitchell,IND,11,WR,341,#N/A,216,11
Miles Sanders,DAL,10,RB,246,#N/A,228,12
DJ Giddens,IND,11,RB,257,#N/A,236,12
Calvin Austin,PIT,5,WR,251,#N/A,#N/A,#N/A
Jarquez Hunter,LAR,8,RB,240,#N/A,253,12
Jaleel McLaughlin,DEN,12,RB,291,#N/A,245,12
Pat Freiermuth,PIT,5,TE,194,122.4,187,11
Dalton Schultz,HOU,6,TE,232,123.4,227,12
Alec Pierce,IND,11,WR,252,#N/A,198,11
Andrei Iosivas,CIN,10,WR,266,#N/A,225,12
Jalen Tolbert,DAL,10,WR,403,#N/A,254,12
Keaton Mitchell,BAL,7,RB,284,#N/A,239,12
Sam Darnold,SEA,8,QB,220,232.8,170,10
Aaron Rodgers,PIT,5,QB,226,221.8,192,11
Russell Wilson,NYG,14,QB,256,160.9,234,12
Jaylin Noel,HOU,6,WR,277,#N/A,219,11
Jalen Coker,CAR,14,WR,328,#N/A,194,11
Kyle Monangai,CHI,5,RB,261,#N/A,230,12
Devin Neal,NO,11,RB,289,#N/A,256,12
Isaiah Likely,BAL,7,TE,170,118.2,200,11
Juwan Johnson,NO,11,TE,312,118.3,240,12
Ja'Tavion Sanders,CAR,14,TE,270,#N/A,242,12
Cole Kmet,CHI,5,TE,255,#N/A,248,12
Elic Ayomanor,TEN,10,WR,315,#N/A,231,12
Roman Wilson,PIT,5,WR,292,#N/A,246,12
Devaughn Vele,DEN,12,WR,437,#N/A,243,12
Elijah Moore,BUF,7,WR,342,#N/A,258,12
Jalen Royals,KC,10,WR,248,#N/A,249,12
Dontayvion Wicks,GB,5,WR,276,#N/A,220,11
